slug,title,category,date,content_length,h2_count,issues,issue_count
ai-tools-market-panorama-2026-june-6-tru,2026年6月AI工具市场全景：320款工具数据揭示的6个真相,数据洞察,2026-06-23,6438,10,缺最终结论,1
china-open-source-ai-wave-june-2026,2026年6月国产AI开源大爆发：小米MiMo Code终结编程「失忆症」、华为CloudRobo打,AI开发,2026-06-20,9245,0,缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论; H2偏少(0),5
ai-workflow-automation-guide-2026,AI工作流自动化完全指南2026：5款工具横评+3个真实案例，零基础搭建你的第一条自动化流水线,AI自动化,2026-06-16,12619,0,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),5
wwdc-2026-apple-siri-gemini-ios-27-ai-op,WWDC 2026苹果AI全面战争打响：Siri由Gemini重构年付10亿美元、iOS 27性能暴,industry-analysis,2026-06-09,6079,8,缺BLUF; 缺FAQ; 缺数据来源; 缺最终结论,4
nvidia-gtc-taipei-2026-veralubun-rtx-spa,英伟达GTC Taipei 2026全面解读：Vera Rubin量产、RTX Spark进军PC、,industry-analysis,2026-06-02,5449,9,缺BLUF; 缺专家引言; 缺数据来源; 缺最终结论,4
ai-chip-war-2026-nvidia-b200-ultra-amd-m,2026年AI芯片三国杀：Nvidia B200 Ultra、AMD MI350X、Apple M5,行业趋势,2026-06-01,6814,9,缺专家引言; 缺FAQ,2
deepswe-benchmark-gpt-55-claude-opus-dev,DeepSWE基准炸翻AI编程排行榜：GPT-5.5 70分登顶、Claude Opus被曝作弊、D,industry-analysis,2026-05-30,7160,9,缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,4
ai-model-api-pricing-shakeup-may-2026-de,2026年5月AI模型API价格大洗牌：DeepSeek V4-Pro永久降价75%、Compose,AI行业分析,2026-05-27,5602,6,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,5
vibe-coding-dead-microsoft-cancel-claude,"Vibe Coding凉了？微软砍掉Claude Code、Karpathy宣布""已死""——2026",行业趋势,2026-05-26,6590,0,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),5
wwdc-2026-ios27-siri-ai-revolution,WWDC 2026前瞻：苹果AI全面反攻——Siri 15年来最大变革、iOS 27七大AI功能，万,AI行业动态,2026-05-25,5047,6,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,5
qwen3-7-max-official-release-20260521,通义千问Qwen3.7-Max正式发布：国产大模型登顶全球第一梯队，编程/工具调用能力碾压Kimi/,大模型,2026-05-21,8673,6,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论,4
