旧URL(404),301目标,理由
/tools/notion/,/tools/notion-ai/,档A·改名/换slug(已核实)
/tools/manus/,/tools/cloud-computer-manus/,档A·改名/换slug(已核实)
/tools/v0-dev/,/tools/v0.dev/,档A·改名/换slug(已核实)
/tools/warp/,/tools/warp-terminal/,档A·改名/换slug(已核实)
/tools/feishu/,/tools/feishu-assistant/,档A·改名/换slug(已核实)
/compare/claude-deepseek/,/compare/claude-vs-deepseek/,档A·改名/换slug(已核实)
/compare/flux-midjourney/,/compare/midjourney-vs-flux/,档A·改名/换slug(已核实)
/compare/cursor-github-copilot/,/compare/cursor-vs-github-copilot-2026/,档A·改名/换slug(已核实)
/compare/cursor-windsurf/,/compare/cursor-vs-windsurf/,档A·改名/换slug(已核实)
/compare/claude-cursor/,/compare/cursor-vs-windsurf/,档A·改名/换slug(已核实)
/compare/claude-flux/,/compare/midjourney-vs-flux/,档A·改名/换slug(已核实)
/compare/chatgpt-flux/,/compare/midjourney-vs-flux/,档A·改名/换slug(已核实)
/compare/midjourney-vidu-ai/,/compare/vidu-ai-vs-sora/,档A·改名/换slug(已核实)
/compare/chatgpt-deepseek/,/compare/chatgpt-vs-claude-vs-deepseek/,档A·改名/换slug(已核实)
/articles/chatgpt-vs-gemini-vs-claude-2026/,/articles/chatgpt-vs-claude-vs-gemini/,档A·改名/换slug(已核实)
/category/writing/,/category/ai-writing/,档A·改名/换slug(已核实)
/category/video-ai/,/category/ai-video/,档A·改名/换slug(已核实)
/category/automation/,/category/ai-automation/,档A·改名/换slug(已核实)
/category/marketing/,/category/ai-marketing-copy/,档A·改名/换slug(已核实)
/category/ai-marketing/,/category/ai-marketing-copy/,档A·改名/换slug(已核实)
/category/image/,/category/ai-image-editing/,档A·改名/换slug(已核实)
/category/ai-image/,/category/ai-image-editing/,档A·改名/换slug(已核实)
/tools/baidu-translate/,/tools/,档B·已下架→工具索引页
/tools/google-translate/,/tools/,档B·已下架→工具索引页
/tools/youdao/,/tools/,档B·已下架→工具索引页
/tools/dingtalk/,/tools/,档B·已下架→工具索引页
/tools/gumloop/,/tools/,档B·已下架→工具索引页
/tools/workday/,/tools/,档B·已下架→工具索引页
/tools/systeme-io/,/tools/,档B·已下架→工具索引页
/tools/chattpt/,/tools/,档B·已下架→工具索引页
/tools/cloudflare-computer/,/tools/,档B·已下架→工具索引页
/tools/cloudflare-os/,/tools/,档B·已下架→工具索引页
/tools/claude-agent-sdk/,/tools/,档B·已下架→工具索引页
