slug,name,has_test_data,has_faq,needs_update
chatgpt,ChatGPT,True,True,False
claude,Claude,True,True,False
midjourney,Midjourney,True,True,False
github-copilot,GitHub Copilot,False,False,True
cursor,Cursor,True,True,False
kimi,Kimi,True,True,False
doubao,豆包,False,False,True
notion-ai,Notion AI,True,True,False
runway,Runway,False,False,True
stable-diffusion,Stable Diffusion,False,False,True
suno,Suno,False,False,True
canva-ai,Canva AI,False,False,True
sora,Sora,False,False,True
perplexity,Perplexity,True,True,False
pika,Pika,False,False,True
udio,Udio,False,False,True
replit-ai,Replit AI,False,False,True
jasper,Jasper,False,False,True
gamma,Gamma,False,False,True
elevenlabs,ElevenLabs,False,False,True
gemini,Gemini,False,False,True
deepseek,DeepSeek,True,True,False
wenxin-yiyan,文心一言,False,False,True
qwen-chat,千问,False,False,True
tencent-yuanbao,腾讯元宝,False,False,True
grok,Grok,False,False,True
notebooklm,NotebookLM,False,False,True
heygen,HeyGen,False,False,True
deepl,DeepL,False,False,True
dall-e-3,DALL-E 3,False,False,True
adobe-firefly,Adobe Firefly,False,False,True
kling-ai,可灵AI,False,False,True
bolt.new,Bolt.new,False,False,True
windsurf,Windsurf,False,False,True
grammarly-ai,Grammarly AI,False,False,True
microsoft-copilot,Copilot（微软）,False,False,True
wps-ai,WPS AI,False,False,True
character-ai,Character AI,False,False,True
zhipu-chatglm,智谱清言,False,False,True
xinghuo-iflytek,讯飞星火,False,False,True
poe,Poe,False,False,True
tiangong,天工AI,False,False,True
minimax,MiniMax,False,False,True
lovable,Lovable,False,False,True
v0.dev,v0.dev,False,False,True
claude-code,Claude Code,False,False,True
openai-codex,OpenAI Codex,False,False,True
n8n,n8n,False,False,True
coze,Coze,False,True,True
dify,Dify,False,False,True
zapier-ai,Zapier AI,False,False,True
veo,Veo,False,False,True
opus-clip,Opus Clip,False,False,True
descript,Descript,False,False,True
synthesia,Synthesia,False,False,True
luma-ai,Luma AI,False,False,True
capcut-ai,CapCut AI,False,False,True
ideogram,Ideogram,False,False,True
leonardo-ai,Leonardo AI,False,False,True
freepik-ai,Freepik AI,False,False,True
krea-ai,Krea AI,False,False,True
flux,Flux,False,False,True
miaohua,秒画,False,False,True
liblibai,LiblibAI,False,False,True
copy.ai,Copy.ai,False,False,True
quillbot,QuillBot,False,False,True
writesonic,Writesonic,False,False,True
remove.bg,Remove.bg,False,False,True
photoroom,Photoroom,False,False,True
figma-ai,Figma AI,False,False,True
jsdesign-ai,即时设计AI,False,False,True
gaoding-ai,稿定设计AI,False,False,True
napkin-ai,Napkin AI,False,False,True
otter.ai,Otter.ai,False,False,True
feishu-assistant,飞书智能助手,False,False,True
beautiful.ai,Beautiful.ai,False,False,True
tome,Tome,False,False,True
fireflies.ai,Fireflies.ai,False,False,True
speechify,Speechify,False,False,True
krisp,Krisp,False,False,True
murf-ai,Murf AI,False,False,True
cleanvoice,Cleanvoice,False,False,True
arc-browser,Arc浏览器,False,False,True
comet,Comet,False,False,True
meta-so,秘塔AI搜索,False,False,True
nano-ai-search,纳米AI搜索,False,False,True
phind,Phind,False,False,True
you.com,You.com,False,False,True
consensus,Consensus,False,False,True
looka,Looka,False,False,True
pixverse,Pixverse,False,False,True
fliki,Fliki,False,False,True
tensor.art,Tensor.Art,False,False,True
360-zhinain,360智脑,False,False,True
raycast-ai,Raycast AI,False,False,True
brandmark,Brandmark,False,False,True
make,Make,False,False,True
supabase-ai,Supabase AI,False,False,True
recraft,Recraft,False,False,True
fathom,Fathom,False,False,True
perplexity-ai,Perplexity AI,False,False,True
d-id,D-ID,False,False,True
wordtune,Wordtune,False,False,True
pitch-ai,Pitch AI,False,False,True
bardeen,Bardeen,False,False,True
anthropic-console,Anthropic Console,False,False,True
hugging-face,Hugging Face,False,False,True
replicate,Replicate,False,False,True
brave-search-ai,Brave Search AI,False,False,True
relume,Relume,False,False,True
miro-ai,Miro AI,False,False,True
framer-ai,Framer AI,False,False,True
webflow-ai,Webflow AI,False,False,True
spline-ai,Spline AI,False,False,True
lottiefiles-ai,LottieFiles AI,False,False,True
augie-ai,Augie AI,False,False,True
glitter-ai,Glitter AI,False,False,True
play-ht,Play.ht,False,False,True
wondercraft-ai,Wondercraft AI,False,False,True
veed-io,Veed.io,False,False,True
kaiber,Kaiber,False,False,True
domika,Domika,False,False,True
decohere,Decohere,False,False,True
lets-enhance,Let's Enhance,False,False,True
clipdrop,Clipdrop,False,False,True
magnific-ai,Magnific AI,False,False,True
tldv, tl;dv,False,False,True
seedance,Seedance,False,False,True
grain,Grain,False,False,True
elicit,Elicit,False,False,True
anyword,Anyword,False,False,True
headlime,Headlime,False,False,True
activepieces,Activepieces,False,False,True
codesandbox-ai,CodeSandbox AI,False,False,True
tencent-hunyuan,腾讯混元,False,False,True
01-ai,零一万物,False,False,True
stepfun,阶跃星辰,False,False,True
baichuan-ai,百川智能,False,False,True
sensenova,商汤日日新,False,False,True
cognition-ai,Cognition AI,False,False,True
sourcegraph-cody,Sourcegraph Cody,False,False,True
tabnine,Tabnine,False,False,True
comfyui,ComfyUI,False,False,True
fooocus,Fooocus,False,False,True
topaz-photo-ai,Topaz Photo AI,False,False,True
upscayl,Upscayl,False,False,True
adobe-express-ai,Adobe Express AI,False,False,True
mubert,Mubert,False,False,True
aiva,AIVA,False,False,True
soundraw,Soundraw,False,False,True
boomy,Boomy,False,False,True
colossyan,Colossyan,False,False,True
elai,Elai,False,False,True
lalamu,Lalamu,False,False,True
invideo-ai,InVideo AI,False,False,True
pictory,Pictory,False,False,True
kapwing,Kapwing,False,False,True
rytr,Rytr,False,False,True
jenni-ai,Jenni AI,False,False,True
language-tool,LanguageTool,False,False,True
prowritingaid,ProWritingAid,False,False,True
frase,Frase,False,True,True
surfer-seo,Surfer SEO,False,False,True
scalenut,Scalenut,False,False,True
chatpdf,ChatPDF,False,False,True
humata-ai,Humata AI,False,False,True
julius-ai,Julius AI,False,False,True
adcreative-ai,AdCreative AI,False,False,True
lumen5,Lumen5,False,False,True
predis-ai,Predis AI,False,False,True
zi-dong-tai-chu,紫东太初,False,False,True
internlm,书生浦语,False,False,True
modelbest,面壁智能,False,False,True
jimeng-ai,即梦AI,False,False,True
wondershare-virbo,万兴播爆,False,False,True
tongyi-wanxiang,通义万相,False,False,True
xinghuo-cognitive-model,星火认知大模型,False,False,True
aider,Aider,False,True,True
trae,Trae,False,False,True
slidesai,SlidesAI,False,False,True
mureka,Mureka,False,False,True
beatoven-ai,Beatoven.ai,False,False,True
happy-horse,HappyHorse,False,False,True
coda-ai,Coda AI,False,False,True
semrush-ai,Semrush AI,False,False,True
resemble-ai,Resemble AI,False,False,True
monica-ai,Monica AI,False,False,True
buffer-ai,Buffer AI,False,False,True
pencil-ai,Pencil AI,False,False,True
smartcat,Smartcat,False,False,True
relevance-ai,Relevance AI,False,True,True
glean,Glean,False,False,True
lingoai,LingoAI,False,False,True
zety-ai,Zety AI,False,False,True
lingban-ai,灵办AI,False,False,True
quark-ai,夸克AI,False,False,True
tencent-docs-ai,腾讯文档AI,False,False,True
devin-ai,Devin AI,False,False,True
amp,Amp,False,False,True
openhands,OpenHands,False,False,True
cluely,Cluely,False,False,True
groq,Groq,False,False,True
cerebras,Cerebras,False,False,True
open-router,OpenRouter,False,False,True
mistral-ai,Mistral AI,False,False,True
langchain,LangChain,False,False,True
llamaindex,LlamaIndex,False,False,True
pinecone,Pinecone,False,False,True
chroma,Chroma,False,False,True
weaviate,Weaviate,False,False,True
harvey-ai,Harvey AI,False,False,True
coderabbit,CodeRabbit,False,False,True
mem-ai,Mem,False,False,True
recall-ai,Recall,False,False,True
kapkap,KapKap,False,False,True
vizard,Vizard,False,False,True
respeecher,Respeecher,False,False,True
stepfun-step2,StepFun Step-2,False,False,True
